Name,Artist,Album,Track Number
Groundhog's Day,Primus,Frizzle Fry (Remastered),2
The Toys Go Winding Down,Primus,Frizzle Fry (Remastered),8
Pudding Time,Primus,Frizzle Fry (Remastered),9
Sathington Willoughby,Primus,Frizzle Fry (Remastered),10
You Can't Kill Michael Malloy,Primus,Frizzle Fry (Remastered),7
Frizzle Fry,Primus,Frizzle Fry (Remastered),5
Mr. Knowitall,Primus,Frizzle Fry (Remastered),4
Too Many Puppies,Primus,Frizzle Fry (Remastered),3
Giants Under The Sun (Previously Unissued),Yes,Tales From Topographic Oceans (Deluxe Version),6
Dance Of The Dawn (Previously Unissued),Yes,Tales From Topographic Oceans (Deluxe Version),5
Ritual / Nous Sommes Du Soleil (Remastered Version),Yes,Tales From Topographic Oceans (Deluxe Version),4
The Ancient / Giants Under The Sun (Remastered Version),Yes,Tales From Topographic Oceans (Deluxe Version),3
The Remembering / High The Memory (Remastered Version),Yes,Tales From Topographic Oceans (Deluxe Version),2
The Revealing Science Of God / Dance Of The Dawn (Remastered Version),Yes,Tales From Topographic Oceans (Deluxe Version),1
Ahhh... Fishing,John Lurie,Fishing With John - Original Music From The Series By John Lurie,1
Golden Gate,STS9,When the Dust Settles - EP,4
I Break Mirrors With My Face In The United States,Death Grips,The Powers That B,9
Inanimate Sensation,Death Grips,The Powers That B,10
Turned Off,Death Grips,The Powers That B,11
Why A Bitch Gotta Lie,Death Grips,The Powers That B,12
Pss Pss,Death Grips,The Powers That B,13
The Powers That B,Death Grips,The Powers That B,14
Beyond Alive,Death Grips,The Powers That B,15
Death Grips 2.0,Death Grips,The Powers That B,18
On GP,Death Grips,The Powers That B,17
Centuries Of Damn,Death Grips,The Powers That B,16
Say Hey Kid,Death Grips,The Powers That B,4
Up My Sleeves,Death Grips,The Powers That B,1
Black Quarterback,Death Grips,The Powers That B,3
Have A Sad Cum BB,Death Grips,The Powers That B,5
Big Dipper,Death Grips,The Powers That B,8
Billy Not Really,Death Grips,The Powers That B,2
Voila,Death Grips,The Powers That B,7
Fuck Me Out,Death Grips,The Powers That B,6
Inanimate Sensation,Death Grips,Inanimate Sensation,1
To See More Light,Colin Stetson,New History Warfare Vol. 3: To See More Light,8
Hunted,Colin Stetson,New History Warfare Vol. 3: To See More Light,2
And In Truth,Colin Stetson,New History Warfare Vol. 3: To See More Light,1
In Mirrors,Colin Stetson,New History Warfare Vol. 3: To See More Light,4
Brute,Colin Stetson,New History Warfare Vol. 3: To See More Light,5
Among the Sef,Colin Stetson,New History Warfare Vol. 3: To See More Light,6
Part Of Me Apart From You,Colin Stetson,New History Warfare Vol. 3: To See More Light,11
Who the Waves Are Roaring For,Colin Stetson,New History Warfare Vol. 3: To See More Light,7
This Bed Of Shattered Bone,Colin Stetson,New History Warfare Vol. 3: To See More Light,10
What Are They Doing In Heaven Tonight?,Colin Stetson,New History Warfare Vol. 3: To See More Light,9
High Above a Grey Green Sea,Colin Stetson,New History Warfare Vol. 3: To See More Light,3
Song,Zeena Parkins,The Adorables,8
Sophia,Zeena Parkins,The Adorables,7
Refracted,Zeena Parkins,The Adorables,4
Without_Source,Zeena Parkins,The Adorables,6
Constructed,Zeena Parkins,The Adorables,1
Invented,Zeena Parkins,The Adorables,2
UMEA,Zeena Parkins,The Adorables,3
Raking,Zeena Parkins,The Adorables,5
Sugarbush Vs. The Swinging Snares,Nurse With Wound,Second Pirate Session,1
Ernest Needs A Kidney (Live Studio Jam),Nurse With Wound,Second Pirate Session,7
Rock'n Roll Station (Atmospheric Karaoke Version),Nurse With Wound,Second Pirate Session,8
"Russolo, A Little Fella On Very Ordinary Legs (On The Verge Of Getting It On)",Nurse With Wound,Second Pirate Session,6
Optical Illusion Pad,Nurse With Wound,Second Pirate Session,2
Organophosphorus Resistance In Studio Conditions,Nurse With Wound,Second Pirate Session,3
Chuggin' / Codfish / Phantom Limb (Amputation Scene),Nurse With Wound,Second Pirate Session,5
Subterranean Zappa Blues / My Saxy Baby,Nurse With Wound,Second Pirate Session,4
0035 1-Audio,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,8
piano un10 it happened,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,12
disk aud1_12,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,7
disk prep calrec2 barn dance [slo],Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,9
DISKPREPT1,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,10
hat 2b 2012b,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,6
hat5c 0001 rec-4,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,13
diskhat2,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,11
DISKPREPT4,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,5
piano un1 arpej,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,4
diskhat1,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,3
snar2,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,2
diskhat ALL prepared1mixed 13,Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,1
Taster,Mike Keneally Band,Bakin' @ the Potato!,12
Bullys (sic),Mike Keneally Band,Bakin' @ the Potato!,10
"Yep, Them Dolphins Is Smart, Alright",Mike Keneally Band,Bakin' @ the Potato!,9
Scotch,Mike Keneally Band,Bakin' @ the Potato!,14
Chatfield Manor,Mike Keneally Band,Bakin' @ the Potato!,15
Potato,Mike Keneally Band,Bakin' @ the Potato!,16
Pretty Enough For Girls,Mike Keneally Band,Bakin' @ the Potato!,11
1988 Was A Million Years Ago,Mike Keneally Band,Bakin' @ the Potato!,8
Them Dolphins Is Smart,Mike Keneally Band,Bakin' @ the Potato!,7
Chee,Mike Keneally Band,Bakin' @ the Potato!,6
My Dilemma,Mike Keneally Band,Bakin' @ the Potato!,5
Click,Mike Keneally Band,Bakin' @ the Potato!,4
Life's Too Small,Mike Keneally Band,Bakin' @ the Potato!,3
Kedgeree,Mike Keneally Band,Bakin' @ the Potato!,1
Blameless (The Floating Face),Mike Keneally Band,Bakin' @ the Potato!,2
Tomorrow,Mike Keneally Band,Bakin' @ the Potato!,13
Statesboro Blues (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),1
Midnight Rider (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),9
Trouble No More (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),2
Drunken Hearted Boy (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),13
Whipping Post (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),11
Don't Keep Me Wonderin' (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),3
Hot 'Lanta (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),10
You Don't Love Me (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),8
Done Somebody Wrong (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),4
Stormy Monday (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),5
One Way Out (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),6
In Memory Of Elizabeth Reed (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),7
Mountain Jam (Live At The Fillmore East/1971),The Allman Brothers Band,Live At Fillmore East (Deluxe Edition),12
Recreating,Sausage,Riddles Are Abound Tonight,8
Caution Should Be Used While Driving A Motor Vehicle Or Operating Machinery,Sausage,Riddles Are Abound Tonight,9
Girls For Single Men,Sausage,Riddles Are Abound Tonight,7
Toyz 1988,Sausage,Riddles Are Abound Tonight,5
Temporary Phase,Sausage,Riddles Are Abound Tonight,6
Shattering Song,Sausage,Riddles Are Abound Tonight,4
Riddles Are Abound Tonight,Sausage,Riddles Are Abound Tonight,2
Here's To The Man,Sausage,Riddles Are Abound Tonight,3
Pressman,Primus,Suck On This (Remastered),4
Harold of the Rocks,Primus,Suck On This (Remastered),8
Groundhog's Day,Primus,Suck On This (Remastered),2
Pudding Time,Primus,Suck On This (Remastered),7
Frizzle Fry,Primus,Suck On This (Remastered),9
Tommy the Cat,Primus,Suck On This (Remastered),6
John the Fisherman,Primus,Suck On This (Remastered),1
Heckler,Primus,Suck On This (Remastered),3
Jellikit,Primus,Suck On This (Remastered),5
One More Day,Can,Out of Reach,7
Pauper's Daughter and I,Can,Out of Reach,2
Like Inobe God,Can,Out of Reach,6
"Give Me No ""Roses""",Can,Out of Reach,5
Serpentine,Can,Out of Reach,1
November,Can,Out of Reach,3
Seven Days Awake,Can,Out of Reach,4
Too Cute,Celestial Shore,Enter Ghost,8
Gloria,Celestial Shore,Enter Ghost,2
Goodbye,Celestial Shore,Enter Ghost,12
Animal Ratio,Celestial Shore,Enter Ghost,11
Pass Go,Celestial Shore,Enter Ghost,10
I Hide,Celestial Shore,Enter Ghost,9
Now I Know,Celestial Shore,Enter Ghost,3
Creation Myth,Celestial Shore,Enter Ghost,1
Same Old Cult Story,Celestial Shore,Enter Ghost,4
Weekenders,Celestial Shore,Enter Ghost,5
Shell Shocked,Celestial Shore,Enter Ghost,6
Trouble,Celestial Shore,Enter Ghost,7
Here Comes The Supernatural Anaesthetist (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,15
The Lamia (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,16
Anyway (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,14
Silent Sorrow In Empty Boats (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,17
The Colony Of Slippermen (The Arrival / A Visit To The Doktor / Raven) [New Stereo Mix],Genesis,The Lamb Lies Down On Broadway,18
Riding The Scree (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,21
Ravine (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,19
The Lamb Lies Down On Broadway (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,1
The Light Dies Down On Broadway (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,20
The Waiting Room (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,13
Lilywhite Lilith (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,12
The Chamber Of 32 Doors (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,11
In The Rapids (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,22
Counting Out Time (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,9
Cuckoo Cocoon (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,4
Fly On A Windshield (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,2
In The Cage (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,5
The Grand Parade Of Lifeless Packaging (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,6
Hairless Heart (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,8
Carpet Crawlers (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,10
It (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,23
Back In N.Y.C. (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,7
Broadway Melody Of 1974 (New Stereo Mix),Genesis,The Lamb Lies Down On Broadway,3
The Shirt (2011 Sonic Boom Remaster),The Red Crayola,God Bless the Red Krayola and All Who Sail With It (2011 Sonic Boom Remaster),3
Clockworks,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,13
I. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,14
II. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,15
I. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,16
II. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,17
Kepler's Harmony of the Worlds,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,18
Wandering in Our Times,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,19
The Orient Express,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,12
The Unquestioned Answer,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,11
"East River, ""East River Dawn""",Laurie Spiegel,Laurie Spiegel: The Expanding Universe,10
The Expanding Universe,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,9
III. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,8
II. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,7
Patchwork,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,1
Old Wave,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,2
I. —,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,6
A Folk Study,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,4
Drums,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,5
Pentachrome,Laurie Spiegel,Laurie Spiegel: The Expanding Universe,3
Otis And Marlena,Joni Mitchell,Don Juan's Reckless Daughter,5
Overture-Cotton Avenue,Joni Mitchell,Don Juan's Reckless Daughter,1
Talk To Me,Joni Mitchell,Don Juan's Reckless Daughter,2
Jericho,Joni Mitchell,Don Juan's Reckless Daughter,3
Paprika Plains,Joni Mitchell,Don Juan's Reckless Daughter,4
The Tenth World,Joni Mitchell,Don Juan's Reckless Daughter,6
Dreamland,Joni Mitchell,Don Juan's Reckless Daughter,7
Don Juan's Reckless Daughter,Joni Mitchell,Don Juan's Reckless Daughter,8
Off Night Backstreet,Joni Mitchell,Don Juan's Reckless Daughter,9
The Silky Veils Of Ardor,Joni Mitchell,Don Juan's Reckless Daughter,10
Bailophone Dance,Pharoah Sanders,Thembi,6
Morning Prayer,Pharoah Sanders,Thembi,5
Love,Pharoah Sanders,Thembi,4
Thembi,Pharoah Sanders,Thembi,3
"Red, Black & Green",Pharoah Sanders,Thembi,2
Astral Traveling,Pharoah Sanders,Thembi,1
Hell's Bells,Bruford,One Of A Kind,1
Fainting In Coils,Bruford,One Of A Kind,5
"One Of A Kind, Part One",Bruford,One Of A Kind,2
"One Of A Kind, Part Two",Bruford,One Of A Kind,3
Travels With Myself - And Someone Else,Bruford,One Of A Kind,4
Five G,Bruford,One Of A Kind,6
The Abingdon Chasp,Bruford,One Of A Kind,7
Forever Until Sunday,Bruford,One Of A Kind,8
"The Sahara Of Snow, Part One",Bruford,One Of A Kind,9
"The Sahara Of Snow, Part Two",Bruford,One Of A Kind,10
Manacles (extra track),Bruford,One Of A Kind,11
Drane [Chosen by Warp co-founder Steve Beckett],Autechre,Warp20 (Chosen),24
Amo Bishop Roden [Chosen by Warp co-founder Steve Beckett],Boards Of Canada,Warp20 (Chosen),14
My Sound [Chosen by Warp co-founder Steve Beckett],Squarepusher,Warp20 (Chosen),13
Colorado [Chosen by Warp co-founder Steve Beckett],Grizzly Bear,Warp20 (Chosen),12
Tender Buttons [Chosen by Warp co-founder Steve Beckett],Broadcast,Warp20 (Chosen),11
Herzog [Chosen by fans on Warp20.net],Clark,Warp20 (Chosen),10
Race : Out [Chosen by Warp co-founder Steve Beckett],Battles,Warp20 (Chosen),15
Spangle [Chosen by Warp co-founder Steve Beckett],Seefeel,Warp20 (Chosen),23
GNG BNG [Chosen by Warp co-founder Steve Beckett],Flying Lotus,Warp20 (Chosen),16
Carceres Ex Novum [Chosen by Warp co-founder Steve Beckett],Black Dog Productions (Xeper),Warp20 (Chosen),17
I'm For Real [Chosen by Warp co-founder Steve Beckett],Nightmares on Wax,Warp20 (Chosen),18
"Freeman, Hardy & Willis Acid [Chosen by Warp co-founder Steve Beckett]",Squarepusher/AFX,Warp20 (Chosen),22
Daddy's Car [Chosen by Warp co-founder Steve Beckett],Jamie Lidell,Warp20 (Chosen),21
Bucephalus Bouncing Ball [Chosen by Warp co-founder Steve Beckett],Aphex Twin,Warp20 (Chosen),20
Gantz Graf [Chosen by fans on Warp20.net],Autechre,Warp20 (Chosen),8
I Love Acid [Chosen by fans on Warp20.net],Luke Vibert,Warp20 (Chosen),7
Roygbiv [Chosen by fans on Warp20.net],Boards Of Canada,Warp20 (Chosen),2
My Red Hot Car [Chosen by fans on Warp20.net],Squarepusher,Warp20 (Chosen),3
Atlas [Chosen by fans on Warp20.net],Battles,Warp20 (Chosen),4
Windowlicker [Chosen by fans on Warp20.net],Aphex Twin,Warp20 (Chosen),1
LFO (Leeds Warehouse Mix) [Chosen by fans on Warp20.net],LFO,Warp20 (Chosen),5
I Wanna Be Your STD [Chosen by fans on Warp20.net],Jimmy Edgar,Warp20 (Chosen),9
Eyen [Chosen by fans on Warp20.net],Plaid,Warp20 (Chosen),6
Paroles [Chosen by Warp co-founder Steve Beckett],Mike Ink,Warp20 (Chosen),19
Penumbra,Tortoise,Beacons Of Ancestorship,5
High Class Slim Came Floatin' In,Tortoise,Beacons Of Ancestorship,1
The Fall Of Seven Diamonds Plus One,Tortoise,Beacons Of Ancestorship,7
Prepare Your Coffin,Tortoise,Beacons Of Ancestorship,2
Northern Something,Tortoise,Beacons Of Ancestorship,3
Charteroak Foundation,Tortoise,Beacons Of Ancestorship,11
Monument Six One Thousand,Tortoise,Beacons Of Ancestorship,9
Gigantes,Tortoise,Beacons Of Ancestorship,4
Yinxianghechengqi,Tortoise,Beacons Of Ancestorship,6
de Chelly,Tortoise,Beacons Of Ancestorship,10
Minors,Tortoise,Beacons Of Ancestorship,8
Forks,Lusine,Arterial,4
Quiet Day,Lusine,Arterial,3
Eyes Give In,Lusine,Arterial,2
Arterial,Lusine,Arterial,1
Toddler,Battles,Gloss Drop,9
Africastle,Battles,Gloss Drop,1
Sundome (Featuring Yamantaka Eye),Battles,Gloss Drop,12
White Electric,Battles,Gloss Drop,11
Rolls Bayce,Battles,Gloss Drop,10
Inchworm,Battles,Gloss Drop,4
Sweetie & Shag (Featuring Kazu Makino),Battles,Gloss Drop,8
Ice Cream (Featuring Matias Aguayo),Battles,Gloss Drop,2
Dominican Fade,Battles,Gloss Drop,7
Futura,Battles,Gloss Drop,3
My Machines (Featuring Gary Numan),Battles,Gloss Drop,6
Wall Street,Battles,Gloss Drop,5
Wavxxes (feat. Lars Horntveth),Teebs,E s t a r a,12
NY pt. 1,Teebs,E s t a r a,7
NY pt. 2 (feat. Prefuse 73),Teebs,E s t a r a,10
Mondaze,Teebs,E s t a r a,11
Piano Months,Teebs,E s t a r a,9
The Endless,Teebs,E s t a r a,1
Holiday (feat. Jonti),Teebs,E s t a r a,3
Shoouss Lullaby,Teebs,E s t a r a,4
Hi Hat (feat. Populous),Teebs,E s t a r a,6
SOTM,Teebs,E s t a r a,5
Piano Days,Teebs,E s t a r a,8
View Point,Teebs,E s t a r a,2
Rose Sob,National Health,Playtime,6
Pleaides,National Health,Playtime,4
Squarer For Maude Part 1,National Health,Playtime,8
Squarer For Maude Part 2,National Health,Playtime,9
Play Time,National Health,Playtime,7
Nowadays A Silhouette,National Health,Playtime,2
Flanagan's People,National Health,Playtime,1
Rhubarb Jam,National Health,Playtime,5
Phlakaton - Original,National Health,Of Queues And Cures,6
The Collapso - Original,National Health,Of Queues And Cures,2
Binoculars - Original,National Health,Of Queues And Cures,5
Dreams Wide Awake - Original,National Health,Of Queues And Cures,4
Squarer For Maud - Original,National Health,Of Queues And Cures,3
The Bryden 2 Step (For Amphibians) Pt. 2 - Original,National Health,Of Queues And Cures,7
The Bryden 2 Step (For Amphibians) Pt. 1 - Original,National Health,Of Queues And Cures,1
Let My Love Open The Door,Pete Townshend,The Definitive Collection,8
Pregaming the Rapture,Groundislava,Groundislava,1
Panorama,Groundislava,Groundislava,2
A Grass Day,Groundislava,Groundislava,3
Young Lava,Groundislava,Groundislava,4
Final Impasse,Groundislava,Groundislava,5
Shlava,Groundislava,Groundislava,8
The Dig,Groundislava,Groundislava,6
Animal,Groundislava,Groundislava,7
Stealth River Mission,Groundislava,Groundislava,9
New Flesh,Groundislava,Groundislava,10
Animal (Young Montana? Remix),Groundislava,Groundislava,13
One For Her,Groundislava,Groundislava,12
Panorama (Clive Tanaka y Beaunoise Remix),Groundislava,Groundislava,14
Gravity Hoarding,Groundislava,Groundislava,11
Honeymoons,The Fabulous Marquises,Can't Stop It! Australian Post-Punk 1978-82,12
When I See Mommy I Feel Like A Mummy,Captain Beefheart,Shiny Beast [Bat Chain Puller],7
Tropical Hot Dog,Captain Beefheart,Shiny Beast [Bat Chain Puller],2
The Floppy Boot Stomp,Captain Beefheart,Shiny Beast [Bat Chain Puller],1
Ice Rose,Captain Beefheart,Shiny Beast [Bat Chain Puller],3
Harry Irene,Captain Beefheart,Shiny Beast [Bat Chain Puller],4
You Know You're A Man,Captain Beefheart,Shiny Beast [Bat Chain Puller],5
Bat Chain Puller,Captain Beefheart,Shiny Beast [Bat Chain Puller],6
Owed T' Alex,Captain Beefheart,Shiny Beast [Bat Chain Puller],8
Candle Mambo,Captain Beefheart,Shiny Beast [Bat Chain Puller],9
Love Lies,Captain Beefheart,Shiny Beast [Bat Chain Puller],10
Suction Prints,Captain Beefheart,Shiny Beast [Bat Chain Puller],11
Apes-Ma,Captain Beefheart,Shiny Beast [Bat Chain Puller],12
Dr. Chadbourne/Dean Roberts/Thurston Moore,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,5
Chadbourne/Jim O'Rourke/Kim Gordon,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,8
Untitled,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,9
Dr. Chadbourne/Elliot Sharp/Misha Feigin,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,6
Dr. Chadbourne/Kenta Nagai/Jim O'Rouke,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,1
Dr. Chadbourne/David Watson,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,2
Dr. Chadbourne/Joe Morris,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,3
Dr. Chadbourne/Loren Mazzacane Connors,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,4
Dr. Chadbourne/Roget Kleir/Loren Mazzacane Connors,Dr. Chad,Guitar Festival Summer 1999 - Greeting Fellow Pickers,7
Destroy Them With Lasers,Knife Party,100% No Modern Talking,2
Tourniquet,Knife Party,100% No Modern Talking,3
Fire Hive,Knife Party,100% No Modern Talking,4
Internet Friends,Knife Party,100% No Modern Talking,1
Internet Friends (VIP),Knife Party,Haunted House,4
Power Glove,Knife Party,Haunted House,1
EDM Death Machine,Knife Party,Haunted House,3
LRAD,Knife Party,Haunted House,2
Chunga's Revenge,Aynsley Dunbar,Mutiny,4
Eye of Newt,Ike Willis,Dirty Pictures,5
AJ,Ike Willis,Dirty Pictures,12
Love Tax,Ike Willis,Dirty Pictures,11
Bad Time II,Ike Willis,Dirty Pictures,14
The Doctor is In,Ike Willis,Dirty Pictures,2
'Yo Kats,Ike Willis,Dirty Pictures,13
Sun Son,Ike Willis,Dirty Pictures,3
The Clock,Ike Willis,Dirty Pictures,1
"Blond Hair, Blond Teeth",Ike Willis,Dirty Pictures,4
I Know,Ike Willis,Dirty Pictures,6
Love Theme - the Foreigner from Boston,Ike Willis,Dirty Pictures,7
